DEPTH,BS,BVW,CARB_FLAG,COAL_FLAG,DELTA,GRMAX,GRMIN,J,KLHC_INT,KLOGH,M,N,PERF_FLAG,PHIF,PORD,RHOFL,RHOMA,RW,SAND_FLAG,SW,SWIRR,TEMP,VSH
3672.9924,8.5,0.152925,0,0,0.1131,115,14,6.40E-05,0.0001,0.0001,1.79,2.45,0,0.350802,0.350802,0.8,2.66,0.0216182,0,0.4359,2.2763,112.8774,0.630513
3673.1448,8.5,0.149468,0,0,0.057,115,14,0.000101,0.0002,0.0002,1.79,2.45,0,0.359646,0.359646,0.8,2.66,0.0216176,0,0.4156,1.9225,112.881,0.631268
3673.2972,8.5,0.130486,0,0,0.1451,115,14,4.20E-05,0,0,1.79,2.45,0,0.235973,0.235973,0.8,2.66,0.0216171,0,0.553,2.847,112.8846,0.632023
3673.4496,8.5,0.125377,0,0,0.3453,115,14,1.50E-05,0,0,1.79,2.45,0,0.210315,0.210315,0.8,2.66,0.0216165,0,0.5961,4.2013,112.8883,0.632778
3673.602,8.5,0.12449,0,0,0.2849,115,14,1.30E-05,0,0,1.79,2.45,0,0.20486,0.20486,0.8,2.66,0.0216159,0,0.6077,4.4974,112.8919,0.633533
3673.7544,8.5,0.127375,0,0,0.1357,115,14,1.50E-05,0,0,1.79,2.45,0,0.221975,0.221975,0.8,2.66,0.0216153,0,0.5738,4.1828,112.8955,0.634288
3673.9068,8.5,0.123853,0,0,0.2029,115,14,1.60E-05,0,0,1.79,2.45,0,0.202229,0.202229,0.8,2.66,0.0216147,0,0.6124,4.1854,112.8992,0.635043
3674.0592,8.5,0.116345,0,0,0.2748,115,14,1.60E-05,0,0,1.79,2.45,0,0.1652,0.1652,0.8,2.66,0.0216141,0,0.7043,4.2736,112.9028,0.635798
3674.2116,8.5,0.109585,0,0,0.37,115,14,6.00E-06,0,0,1.79,2.45,0,0.138278,0.138278,0.8,2.66,0.0216135,0,0.7925,6.3253,112.9064,0.636554
3674.364,8.5,0.117088,0,0,0.2671,115,14,7.00E-06,0,0,1.79,2.45,0,0.185833,0.185833,0.8,2.66,0.021613,0,0.6301,5.6383,112.9101,0.637309
3674.5164,8.5,0.117625,0,0,0.1582,115,14,7.00E-06,0,0,1.79,2.45,0,0.199409,0.199409,0.8,2.66,0.0216124,0,0.5899,5.6465,112.9137,0.638064
3674.6688,8.5,0.116113,0,0,0.1939,115,14,1.70E-05,0,0,1.79,2.45,0,0.201604,0.201604,0.8,2.66,0.0216118,0,0.5759,4.0565,112.9173,0.638819
3674.8212,8.5,0.114745,0,0,0.1856,115,14,1.70E-05,0,0,1.79,2.45,0,0.206433,0.206433,0.8,2.66,0.0216112,0,0.5558,4.0071,112.921,0.639574
3674.9736,8.5,0.111769,0,0,0.1848,115,14,1.70E-05,0,0,1.79,2.45,0,0.201096,0.201096,0.8,2.66,0.0216106,0,0.5558,4.0568,112.9246,0.640329
3675.126,8.5,0.109251,0,0,0.151,115,14,1.90E-05,0,0,1.79,2.45,0,0.194834,0.194834,0.8,2.66,0.02161,0,0.5608,3.8989,112.9282,0.641084
3675.2784,8.5,0.112968,0,0,0.2269,115,14,1.40E-05,0,0,1.79,2.45,0,0.223006,0.223006,0.8,2.66,0.0216095,0,0.5066,4.2205,112.9319,0.641839
3675.4308,8.5,0.112697,0,0,0.1963,115,14,9.00E-06,0,0,1.79,2.45,0,0.215086,0.215086,0.8,2.66,0.0216089,0,0.524,5.0309,112.9355,0.642594
3675.5832,8.5,0.117168,0,0,0.2228,115,14,6.00E-06,0,0,1.79,2.45,0,0.238081,0.238081,0.8,2.66,0.0216083,0,0.4921,5.7402,112.9391,0.643349
3675.7356,8.5,0.116278,0,0,0.2104,115,14,6.00E-06,0,0,1.79,2.45,0,0.223178,0.223178,0.8,2.66,0.0216077,0,0.521,5.8181,112.9428,0.644104
3675.888,8.5,0.118618,0,0,0.2946,115,14,4.00E-06,0,0,1.79,2.45,0,0.233829,0.233829,0.8,2.66,0.0216071,0,0.5073,6.8496,112.9464,0.644859
